name	website	university_id
Gallatin School of Individualized Study	https://gallatin.nyu.edu/	149
Grossman School of Medicine	https://med.nyu.edu/	149
NYU Long Island School of Medicine	https://medli.nyu.edu/	149
The Institute of Fine Arts	https://ifa.nyu.edu/	149
Institute for the Study of the Ancient World	https://isaw.nyu.edu/	149
Leonard N. Stern School of Business	https://www.stern.nyu.edu/	149
Robert F. Wagner Graduate School of Public Service	https://wagner.nyu.edu/	149
Rory Meyers College of Nursing	https://nursing.nyu.edu/	149
School of Global Public Health	https://publichealth.nyu.edu/	149
School of Professional Studies	https://www.sps.nyu.edu/	149
School of Law	https://www.law.nyu.edu/	149
Silver School of Social Work	https://socialwork.nyu.edu/	149
Steinhardt School of Culture, Education, and Human Development	https://steinhardt.nyu.edu/	149
Tandon School of Engineering	https://engineering.nyu.edu/	149
Tisch School of the Arts	https://tisch.nyu.edu/	149
College of Humanities	https://humanities.snu.ac.kr/	151
College of Social Sciences	https://social.snu.ac.kr/	151
College of Natural Sciences	https://science.snu.ac.kr/	151
College of Agriculture and Life Sciences	https://cals.snu.ac.kr/	151
College of Business Administration	https://cba.snu.ac.kr/	151
College of Education	https://education.snu.ac.kr/	151
College of Engineering	https://eng.snu.ac.kr/	151
College of Fine Arts	https://finearts.snu.ac.kr/	151
College of Human Ecology	https://humanecology.snu.ac.kr/	151
College of Liberal Studies	https://cls.snu.ac.kr/ 	151
College of Law	https://law.snu.ac.kr/	151
College of Medicine	https://medicine.snu.ac.kr/	151
College of Nursing	https://nursing.snu.ac.kr/	151
College of Pharmacy	https://pharm.snu.ac.kr/	151
College of Veterinary Medicine	https://vet.snu.ac.kr/	151
School of Dentistry	https://dentistry.snu.ac.kr/	151
Faculty of Integrated Human Studies	https://www.h.kyoto-u.ac.jp/	156
Faculty of Letters	https://www.bun.kyoto-u.ac.jp/	156
Faculty of Education	http://www.educ.kyoto-u.ac.jp/	156
Faculty of Law	https://law.kyoto-u.ac.jp/	156
Faculty of Economics	http://www.econ.kyoto-u.ac.jp/	156
Faculty of Science	https://www.sci.kyoto-u.ac.jp/	156
Faculty of Agriculture	http://www.kais.kyoto-u.ac.jp/	156
Faculty of Engineering	https://www.t.kyoto-u.ac.jp/	156
Faculty of Pharmaceutical Sciences	https://www.pharm.kyoto-u.ac.jp/	156
Faculty of Medicine	https://www.med.kyoto-u.ac.jp/	156
College of Engineering	https://engineering.cmu.edu/	160
College of Fine Arts	https://www.cmu.edu/cfa/	160
Dietrich College of Humanities and Social Sciences	https://www.cmu.edu/dietrich/index.html	160
Heinz College of Information Systems and Public Policy	https://www.heinz.cmu.edu/	160
Mello College of Science	https://www.cmu.edu/mcs/	160
School of Computer Science	https://www.cs.cmu.edu/	160
Tepper School of Business	https://www.cmu.edu/tepper/	160
Faculty of Economics and Business	https://www.uva.nl/en/about-the-uva/organisation/faculties/faculty-of-economics-and-business/	161
Faculty of Humanities	https://www.uva.nl/en/about-the-uva/organisation/faculties/faculty-of-humanities/	161
Amsterdam Law School	https://www.uva.nl/en/about-the-uva/organisation/faculties/amsterdam-law-school/	161
Faculty of Science	https://www.uva.nl/en/about-the-uva/organisation/faculties/faculty-of-science/	161
Faculty of Social and Behavioural Sciences	https://www.uva.nl/en/about-the-uva/organisation/faculties/faculty-of-social-and-behavioural-sciences/	161
Faculty of Medicine	https://www.uva.nl/en/about-the-uva/organisation/faculties/faculty-of-medicine/	161
Faculty of Dentistry	https://www.uva.nl/en/about-the-uva/organisation/faculties/faculty-of-dentistry/	161
Trinity College of Arts and Sciences	https://trinity.duke.edu/	165
Pratt School of Engineering	https://pratt.duke.edu/	165
Nicholas School of the Environment	https://nicholas.duke.edu/	165
Sanford School of Public Policy	https://sanford.duke.edu/	165
Duke Kunshan University	https://dukekunshan.edu.cn/en	165
Continuing Studies	https://learnmore.duke.edu/	165
Divinity School	https://divinity.duke.edu/	165
Duke-NUS Medical School	https://www.duke-nus.edu.sg/	165
The Graduate School	https://gradschool.duke.edu/	165
Fuqua School of Business	https://www.fuqua.duke.edu/	165
Law School	https://law.duke.edu/	165
School of Medicine	https://medschool.duke.edu/	165
School of Nursing	https://nursing.duke.edu/	165
Cockrell School of Engineering	https://www.engr.utexas.edu/	166
College of Education	https://education.utexas.edu/	166
College of Fine Arts	https://finearts.utexas.edu/	166
Jackson School of Geosciences	https://www.jsg.utexas.edu/	166
Graduate School	https://gradschool.utexas.edu/	166
Dell Medical School	https://dellmed.utexas.edu/	166
College of Pharmacy	https://pharmacy.utexas.edu/	166
College of Natural Sciences	https://cns.utexas.edu/	166
College of Liberal Arts	https://liberalarts.utexas.edu/	166
Lyndon B. Johnson School of Public Affairs	https://lbj.utexas.edu/	166
McCombs School of Business	https://www.mccombs.utexas.edu/	166
Moody College of Communication	https://moody.utexas.edu/	166
School of Architecture	https://soa.utexas.edu/	166
