school_short_name	iso639_1	domain_name	type
korea-ac-kr	ko-KR	https://www.korea.ac.kr/	index
osaka-u-ac-jp	ja-JP	https://www.osaka-u.ac.jp/	index
tcd-ie	en-IE	https://www.tcd.ie/	index
soton-ac-uk	en-GB	https://www.southampton.ac.uk/	index
psu-edu	en-US	https://www.psu.edu/	index
bham-ac-uk	en-GB	https://www.birmingham.ac.uk/	index
lu-se	sv-SE	https://www.lu.se/	index
uspedu-br	pt-BR	https://www.usp.br/	index
msu-ru	ru-RU	https://www.msu.ru/	index
uni-heidelberg-de	de-DE	https://www.uni-heidelberg.de/	index
adelaide-edu-au	en-AU	https://www.adelaide.edu.au/	index
uts-edu-au	en-AU	https://www.uts.edu.au/	index
titech-ac-jp	ja-JP	https://www.titech.ac.jp/	index
uzh-ch	de-CH	https://www.uzh.ch/	index
bu-edu	en-US	https://www.bu.edu/	index
unam-mx	es-MX	https://www.unam.mx/	index
uba-ar	es-AR	https://www.uba.ar/	index
st-andrews-ac-uk	en-GB	https://www.st-andrews.ac.uk/	index
gatech	en-US	https://www.gatech.edu/	index
gatech	en-US	https://www.library.gatech.edu/	libraries
gatech	en-US	https://www.admission.gatech.edu/	admissions
gatech	en-US	https://www.registrar.gatech.edu/	registrar
gatech	en-US	https://www.catalog.gatech.edu/	catalog
gatech	en-US	https://www.grad.gatech.edu/	graduate
gatech	en-US	https://www.athletics.gatech.edu/	athletics
gatech	en-US	https://www.alumni.gatech.edu/	alumni
gatech	en-US	https://studentlife.gatech.edu/	student life
fu-berlin-de	de-DE	https://www.fu-berlin.de/	index
purdue-edu	en-US	https://www.purdue.edu/	index
postech-ac-kr	ko-KR	https://www.postech.ac.kr/	index
nottingham-ac-uk	en-GB	https://www.nottingham.ac.uk/	index
tdtu-edu-vn	vi-VN	https://www.tdtu.edu.vn/	index
unipd-it	it-IT	https://www.unipd.it/	index
unibo-it	it-IT	https://www.unibo.it/	index
